CompanyName;Participation;Certification.Date;Certification.Due.Date;Type
BioStat Solutions, Inc.;EU-U.S. Privacy Shield Framework;2016-09-30;2017-09-30;NON-HR
BioVid Corp.;EU-U.S. Privacy Shield Framework;2017-05-03;2018-05-08;NON-HR
BioVid Corp.;Swiss-U.S. Privacy Shield Framework;2017-05-03;2018-05-08;NON-HR
Birkman International, Inc.;EU-U.S. Privacy Shield Framework;2017-01-13;2018-01-13;NON-HR
Birst;EU-U.S. Privacy Shield Framework;2016-12-14;2017-12-14;HR, NON-HR
Bitglass Inc.;EU-U.S. Privacy Shield Framework;2016-08-24;2017-08-24;NON-HR
Bitglass Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-27;2017-08-24;NON-HR
Bitium, Inc.;EU-U.S. Privacy Shield Framework;2017-01-13;2018-04-12;NON-HR
BitSight Technologies, Inc.;EU-U.S. Privacy Shield Framework;2017-03-06;2018-03-06;NON-HR
BitTitan, Inc.;EU-U.S. Privacy Shield Framework;2016-10-28;2017-10-28;NON-HR
Bizible Inc.;EU-U.S. Privacy Shield Framework;2016-09-09;2017-09-09;NON-HR
Blackbaud, Inc.;EU-U.S. Privacy Shield Framework;2016-09-26;2017-09-26;HR, NON-HR
Blackboard Inc.;EU-U.S. Privacy Shield Framework;2016-12-20;2017-12-20;NON-HR
BLACKHAWK NETWORK HOLDINGS, INC;EU-U.S. Privacy Shield Framework;2017-01-23;2018-01-23;NON-HR
BlackLine Systems, Inc.;EU-U.S. Privacy Shield Framework;2017-03-30;2018-03-30;HR, NON-HR
BlackMesh;EU-U.S. Privacy Shield Framework;2016-11-15;2017-11-15;NON-HR
Blount International, Inc.;EU-U.S. Privacy Shield Framework;2016-10-20;2017-10-20;HR, NON-HR
Blue Bite;EU-U.S. Privacy Shield Framework;2016-11-30;2017-11-30;NON-HR
Blue Hill Data Services;Swiss-U.S. Privacy Shield Framework;2017-04-12;2018-04-12;NON-HR
Blue Hill Data Services;EU-U.S. Privacy Shield Framework;2016-12-30;2017-12-30;NON-HR
Blue Jeans Network, Inc.;EU-U.S. Privacy Shield Framework;2017-02-10;2018-02-10;NON-HR
Blue Marble Payroll LLC;EU-U.S. Privacy Shield Framework;2016-10-27;2017-10-27;NON-HR
Blue Nile, Inc.;Swiss-U.S. Privacy Shield Framework;2017-05-04;2018-03-23;NON-HR
Blue Nile, Inc.;EU-U.S. Privacy Shield Framework;2017-03-23;2018-03-23;HR, NON-HR
Blue Ocean Enterprises;EU-U.S. Privacy Shield Framework;2016-10-11;2017-10-11;NON-HR
Blue Ribbon Technologies;EU-U.S. Privacy Shield Framework;2016-11-10;2017-11-10;HR
BlueBridge Networks;EU-U.S. Privacy Shield Framework;2017-02-28;2018-02-28;NON-HR
Bluelock, LLC;EU-U.S. Privacy Shield Framework;2016-10-03;2017-10-03;NON-HR
Blueshift Labs, Inc.;EU-U.S. Privacy Shield Framework;2017-01-18;2018-01-18;NON-HR
BlueSnap Inc,.;Swiss-U.S. Privacy Shield Framework;2017-04-12;2018-04-12;NON-HR
BlueSnap Inc,.;EU-U.S. Privacy Shield Framework;2016-10-04;2017-10-04;HR, NON-HR
Blurb, Inc.;EU-U.S. Privacy Shield Framework;2016-12-12;2017-12-12;NON-HR
BoardEffect, LLC;EU-U.S. Privacy Shield Framework;2016-10-26;2017-10-26;NON-HR
Bodybuilding.com, LLC;EU-U.S. Privacy Shield Framework;2016-11-15;2017-11-15;NON-HR
Bold Financial Technologies;EU-U.S. Privacy Shield Framework;2017-03-31;2018-03-31;NON-HR
Bomgar Corporation;EU-U.S. Privacy Shield Framework;2016-11-28;2017-11-28;NON-HR
Bond International Software, Inc;EU-U.S. Privacy Shield Framework;2016-11-18;2017-11-18;NON-HR
Borderfree, Inc.;EU-U.S. Privacy Shield Framework;2016-12-08;2017-12-08;NON-HR
Boston Scientific Corporation;EU-U.S. Privacy Shield Framework;2017-01-11;2018-01-11;HR, NON-HR
BountyJobs, Inc.;EU-U.S. Privacy Shield Framework;2016-09-08;2017-09-08;NON-HR
Box, Inc.;EU-U.S. Privacy Shield Framework;2016-10-05;2017-10-05;NON-HR
BPA Worldwide;EU-U.S. Privacy Shield Framework;2017-04-28;2018-04-28;HR, NON-HR
Bracket;EU-U.S. Privacy Shield Framework;2016-11-03;2017-11-03;NON-HR
Brainier;EU-U.S. Privacy Shield Framework;2016-12-27;2017-12-27;HR, NON-HR
BrainPOP LLC;EU-U.S. Privacy Shield Framework;2016-10-17;2017-10-17;NON-HR
Brainshark, Inc.;EU-U.S. Privacy Shield Framework;2016-11-25;2017-11-25;NON-HR
Branch Metrics, Inc.;EU-U.S. Privacy Shield Framework;2016-09-23;2017-09-23;NON-HR
Brand Access, LLC;EU-U.S. Privacy Shield Framework;2016-10-17;2017-10-17;NON-HR
Brand Energy and Infrastructure Services, Inc.;EU-U.S. Privacy Shield Framework;2016-10-06;2017-10-06;HR, NON-HR
Brand Institute;EU-U.S. Privacy Shield Framework;2016-09-06;2017-09-06;NON-HR
Branded Research, Inc.;EU-U.S. Privacy Shield Framework;2017-01-26;2018-01-26;NON-HR
BRE America;EU-U.S. Privacy Shield Framework;2017-03-09;2018-03-09;NON-HR
Breezy HR;EU-U.S. Privacy Shield Framework;2017-03-22;2018-03-22;HR
Brierley+Partners;EU-U.S. Privacy Shield Framework;2016-11-23;2017-11-23;NON-HR
Brighterion, Inc;EU-U.S. Privacy Shield Framework;2016-12-30;2017-12-30;NON-HR
Brillium, Inc.;EU-U.S. Privacy Shield Framework;2017-01-06;2018-01-06;NON-HR
BriteVerify;EU-U.S. Privacy Shield Framework;2016-09-01;2017-09-01;NON-HR
Brivo Systems, LLC;EU-U.S. Privacy Shield Framework;2016-12-21;2017-12-21;NON-HR
Brookfield Global Relocation Services;EU-U.S. Privacy Shield Framework;2016-10-21;2017-10-21;NON-HR
Brother International Corporation;EU-U.S. Privacy Shield Framework;2016-10-13;2017-10-13;NON-HR
BROWZ LLC;EU-U.S. Privacy Shield Framework;2016-10-13;2017-10-13;NON-HR
Brushfire;EU-U.S. Privacy Shield Framework;2016-11-29;2017-11-29;NON-HR
Building Robotics, Inc.;EU-U.S. Privacy Shield Framework;2016-11-15;2017-11-15;NON-HR
BuildingLink.com, LLC;EU-U.S. Privacy Shield Framework;2017-01-13;2018-01-13;NON-HR
Built Games LLC;EU-U.S. Privacy Shield Framework;2017-03-24;2018-03-24;NON-HR
Bullhorn, Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-18;2018-04-18;HR, NON-HR
Bullhorn, Inc.;EU-U.S. Privacy Shield Framework;2016-10-03;2018-04-18;HR, NON-HR
Burble Software Company, LLC;EU-U.S. Privacy Shield Framework;2017-01-19;2018-01-19;NON-HR
Burke, Inc.;EU-U.S. Privacy Shield Framework;2016-11-25;2017-11-25;NON-HR
Business Intelligence Associates, Inc.;EU-U.S. Privacy Shield Framework;2016-11-25;2017-11-25;NON-HR
Business Software, Inc.;EU-U.S. Privacy Shield Framework;2017-01-25;2018-01-25;NON-HR
Button, Inc.;EU-U.S. Privacy Shield Framework;2016-09-13;2017-09-13;NON-HR
BuzzBoard, Inc.;EU-U.S. Privacy Shield Framework;2016-10-14;2017-10-14;NON-HR
Bytemark, Inc.;EU-U.S. Privacy Shield Framework;2017-03-08;2018-03-08;NON-HR
C Space;Swiss-U.S. Privacy Shield Framework;2017-04-25;2017-11-30;NON-HR
C Space;EU-U.S. Privacy Shield Framework;2016-11-30;2017-11-30;HR, NON-HR
C2FO;EU-U.S. Privacy Shield Framework;2016-11-18;2017-11-18;NON-HR
C2M LLC;EU-U.S. Privacy Shield Framework;2016-10-12;2017-10-12;NON-HR
C3 Intelligence Inc.;EU-U.S. Privacy Shield Framework;2017-03-31;2018-03-31;HR
CA Technologies;Swiss-U.S. Privacy Shield Framework;2017-05-09;2017-11-14;NON-HR
CA Technologies;EU-U.S. Privacy Shield Framework;2016-11-14;2017-11-14;NON-HR
California Cryobank;EU-U.S. Privacy Shield Framework;2016-10-17;2017-10-17;NON-HR
CallidusCloud;EU-U.S. Privacy Shield Framework;2016-12-09;2017-12-09;NON-HR
Cambia Information Group, LLC;EU-U.S. Privacy Shield Framework;2017-01-13;2018-01-13;NON-HR
Cambria Consulting, Inc.;EU-U.S. Privacy Shield Framework;None;2018-04-19;HR, NON-HR
Cambridge Analytica;EU-U.S. Privacy Shield Framework;2017-05-11;2018-05-11;NON-HR
Canfield Scientific, Inc.;EU-U.S. Privacy Shield Framework;2016-09-23;2017-09-23;NON-HR
Cantel Medical Corp.;EU-U.S. Privacy Shield Framework;2017-01-06;2018-01-06;HR, NON-HR
Capital Confirmation Inc.;EU-U.S. Privacy Shield Framework;2016-10-05;2017-10-05;NON-HR
Capital Novus;EU-U.S. Privacy Shield Framework;2016-11-03;2017-11-03;NON-HR
Caplinked;EU-U.S. Privacy Shield Framework;2017-05-09;2018-05-09;NON-HR
Capriza, Inc.;EU-U.S. Privacy Shield Framework;2017-02-27;2018-02-27;HR
Captricity, Inc.;EU-U.S. Privacy Shield Framework;2016-12-20;2017-12-20;NON-HR
CaptureProof, Inc;EU-U.S. Privacy Shield Framework;2016-11-25;2017-11-25;NON-HR
Caradigm USA, L.L.C.;EU-U.S. Privacy Shield Framework;2017-03-15;2018-03-15;HR, NON-HR
Carbonite, Inc.;EU-U.S. Privacy Shield Framework;2016-12-05;2017-12-05;NON-HR
CARCO Group, Inc.;EU-U.S. Privacy Shield Framework;2016-09-09;2017-09-09;HR, NON-HR
Cardinal Intellectual Property;EU-U.S. Privacy Shield Framework;2016-08-12;2018-05-09;HR, NON-HR
Cardinal Intellectual Property;Swiss-U.S. Privacy Shield Framework;2017-04-18;2018-05-09;HR, NON-HR
Care2;EU-U.S. Privacy Shield Framework;2016-10-13;2017-10-13;NON-HR
Career Partners International LLC;Swiss-U.S. Privacy Shield Framework;2017-04-26;2017-09-27;NON-HR
Career Partners International LLC;EU-U.S. Privacy Shield Framework;2016-09-27;2017-09-27;NON-HR
CareSpeak Communications, Inc.;EU-U.S. Privacy Shield Framework;2016-08-25;2017-08-25;NON-HR
Carlson Hotels, Inc.;EU-U.S. Privacy Shield Framework;2016-09-29;2017-09-29;NON-HR
Carr Engineering, Inc.;EU-U.S. Privacy Shield Framework;2017-04-03;2018-04-03;NON-HR
CARTO;EU-U.S. Privacy Shield Framework;2016-11-02;2017-11-02;NON-HR
Cartus Corporation;EU-U.S. Privacy Shield Framework;2016-08-12;2017-08-12;HR, NON-HR
CASAHL Technology, Inc;EU-U.S. Privacy Shield Framework;2016-10-06;2017-10-06;NON-HR
CASCO International, Inc. dba C.A. Short Company;EU-U.S. Privacy Shield Framework;2017-03-07;2018-03-07;NON-HR
Casepoint, LLC;Swiss-U.S. Privacy Shield Framework;2017-04-18;2018-02-24;NON-HR
Casepoint, LLC;EU-U.S. Privacy Shield Framework;2017-02-24;2018-02-24;NON-HR
Casper;EU-U.S. Privacy Shield Framework;2017-01-05;2018-01-05;NON-HR
Cass Information Systems;EU-U.S. Privacy Shield Framework;2016-10-13;2017-10-13;HR, NON-HR
Catalyst Repository Systems, Inc.;Swiss-U.S. Privacy Shield Framework;2017-05-02;2018-05-02;NON-HR
Catalyst Repository Systems, Inc.;EU-U.S. Privacy Shield Framework;2016-12-21;2018-05-02;NON-HR
Cautela Labs;EU-U.S. Privacy Shield Framework;2016-09-23;2017-09-23;HR, NON-HR
CDK Global;EU-U.S. Privacy Shield Framework;2016-10-24;2017-10-24;HR
CEB;EU-U.S. Privacy Shield Framework;2016-11-29;2017-11-29;NON-HR
Cedexis, Inc.;EU-U.S. Privacy Shield Framework;2017-01-13;2018-01-13;NON-HR
Celergo LLC;EU-U.S. Privacy Shield Framework;2017-02-09;2018-02-09;HR
Celldex Therapeutics, Inc.;Swiss-U.S. Privacy Shield Framework;2017-05-17;2017-11-02;NON-HR
Celldex Therapeutics, Inc.;EU-U.S. Privacy Shield Framework;2016-11-02;2017-11-02;NON-HR
Cendyn;EU-U.S. Privacy Shield Framework;2017-01-13;2018-01-13;HR, NON-HR
Centrify Corporation;EU-U.S. Privacy Shield Framework;2016-10-25;2017-10-25;NON-HR
Cercacor Laboratories, Inc.;EU-U.S. Privacy Shield Framework;2016-11-21;2017-11-21;NON-HR
Cerenade;EU-U.S. Privacy Shield Framework;2016-12-01;2017-12-01;NON-HR
Cerida Investments Corporation d/b/a Call Center Services;EU-U.S. Privacy Shield Framework;2016-09-06;2017-09-06;NON-HR
Ceridian HCM, Inc.;EU-U.S. Privacy Shield Framework;2016-11-02;2017-11-02;HR, NON-HR
Cerner Corporation;EU-U.S. Privacy Shield Framework;2016-11-03;2017-11-03;HR, NON-HR
Certain Inc;EU-U.S. Privacy Shield Framework;2017-03-23;2018-03-23;NON-HR
Certent, Inc.;EU-U.S. Privacy Shield Framework;2016-11-16;2017-11-16;NON-HR
Certified Languages International;EU-U.S. Privacy Shield Framework;2017-03-16;2018-03-16;NON-HR
Certify, Inc.;EU-U.S. Privacy Shield Framework;2016-11-29;2017-11-29;NON-HR
CFI Group USA, LLC;EU-U.S. Privacy Shield Framework;2016-11-21;2017-11-21;NON-HR
CH2M;EU-U.S. Privacy Shield Framework;2017-02-21;2018-02-21;HR, NON-HR
Chadwick Martin Bailey;EU-U.S. Privacy Shield Framework;2017-05-02;2018-05-02;NON-HR
Chadwick Martin Bailey;Swiss-U.S. Privacy Shield Framework;2017-05-02;2018-05-02;NON-HR
Changepoint;EU-U.S. Privacy Shield Framework;2017-02-22;2018-02-22;HR, NON-HR
ChannelAdvisor Corporation;EU-U.S. Privacy Shield Framework;2016-11-04;2017-11-04;HR, NON-HR
Chargebee Inc;EU-U.S. Privacy Shield Framework;2016-10-14;2017-10-14;NON-HR
Chargify, LLC;EU-U.S. Privacy Shield Framework;2016-09-06;2017-09-06;NON-HR
Charles River Development, Inc.;EU-U.S. Privacy Shield Framework;2016-12-05;2017-12-05;HR, NON-HR
Charles Schwab Stock Plan Services;EU-U.S. Privacy Shield Framework;2017-03-09;2018-03-09;NON-HR
Chartbeat, Inc.;Swiss-U.S. Privacy Shield Framework;2017-05-04;2017-12-20;NON-HR
Chartbeat, Inc.;EU-U.S. Privacy Shield Framework;2016-12-20;2017-12-20;NON-HR
Chartio;EU-U.S. Privacy Shield Framework;2016-11-23;2017-11-23;NON-HR
Chassix, Inc.;EU-U.S. Privacy Shield Framework;2016-11-29;2017-11-29;HR
Chatham Financial Corp.;Swiss-U.S. Privacy Shield Framework;2017-04-27;2018-04-27;NON-HR
Chatham Financial Corp.;EU-U.S. Privacy Shield Framework;2016-12-29;2018-04-27;HR, NON-HR
Cherwell Software, LLC;EU-U.S. Privacy Shield Framework;2016-12-07;2017-12-07;HR, NON-HR
Chiasma, Inc.;EU-U.S. Privacy Shield Framework;2016-10-26;2017-10-26;NON-HR
Chorus Consulting LLC;Swiss-U.S. Privacy Shield Framework;2017-05-25;2018-03-14;NON-HR
Chorus Consulting LLC;EU-U.S. Privacy Shield Framework;2017-03-14;2018-03-14;NON-HR
Chromatography Research Supplies, Inc;EU-U.S. Privacy Shield Framework;2016-08-12;2017-08-12;NON-HR
Chromatography Research Supplies, Inc;Swiss-U.S. Privacy Shield Framework;2017-04-18;2017-08-12;NON-HR
Chrome RIver Technologies;EU-U.S. Privacy Shield Framework;2016-12-21;2017-12-21;HR, NON-HR
Cielo Management Consulting, LLC;EU-U.S. Privacy Shield Framework;2017-01-27;2018-01-27;HR, NON-HR
CIMdata, Inc.;EU-U.S. Privacy Shield Framework;2017-05-24;2018-05-24;NON-HR
Circle Internet Financial, Inc.;EU-U.S. Privacy Shield Framework;2016-11-02;2017-11-02;HR, NON-HR
Circulus, LLC;EU-U.S. Privacy Shield Framework;2016-10-24;2017-10-24;NON-HR
Cirrity LLC;EU-U.S. Privacy Shield Framework;2016-12-09;2017-12-09;NON-HR
Cirruspath Inc.;EU-U.S. Privacy Shield Framework;2016-10-03;2017-10-03;NON-HR
Cisco Systems, Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-25;2018-04-25;HR, NON-HR
Cisco Systems, Inc.;EU-U.S. Privacy Shield Framework;2016-10-27;2018-04-25;HR, NON-HR
CitiusTech Inc.;EU-U.S. Privacy Shield Framework;2016-12-20;2017-12-20;HR, NON-HR
Citrix Systems, Inc.;EU-U.S. Privacy Shield Framework;2016-10-05;2017-10-05;NON-HR
Civis Analytics, Inc.;EU-U.S. Privacy Shield Framework;2016-11-23;2017-11-23;NON-HR
Clarabridge, Inc. and its wholly owned subsidiary, Market Metrix, a Clarabridge;EU-U.S. Privacy Shield Framework;2017-02-28;2018-02-28;NON-HR
Clari Inc.;EU-U.S. Privacy Shield Framework;2017-04-25;2018-04-25;NON-HR
Clari Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-25;2018-04-25;NON-HR
Clarion Research Inc.;EU-U.S. Privacy Shield Framework;2016-10-26;2017-10-26;NON-HR
Clarus Commerce, LLC;EU-U.S. Privacy Shield Framework;2016-08-30;2017-08-30;NON-HR
Class Twist, Inc. d/b/a ClassDojo;EU-U.S. Privacy Shield Framework;2016-10-11;2017-10-11;NON-HR
Clearbit;EU-U.S. Privacy Shield Framework;2017-02-21;2018-02-21;NON-HR
ClearDATA;EU-U.S. Privacy Shield Framework;2017-05-03;2018-05-03;NON-HR
Clearslide;Swiss-U.S. Privacy Shield Framework;2017-05-11;2017-12-09;NON-HR
Clearslide;EU-U.S. Privacy Shield Framework;2016-12-09;2017-12-09;NON-HR
ClearStar, Inc;EU-U.S. Privacy Shield Framework;2016-09-19;2017-09-19;HR, NON-HR
Clearwater Analytics;EU-U.S. Privacy Shield Framework;2017-02-09;2018-02-09;HR, NON-HR
Clementia Pharmaceuticals USA Inc.;EU-U.S. Privacy Shield Framework;2017-01-09;2018-01-09;NON-HR
Cleveland Medical Devices Inc;EU-U.S. Privacy Shield Framework;2017-05-24;2018-05-24;NON-HR
Click Sales Inc.;EU-U.S. Privacy Shield Framework;2016-11-15;2017-11-15;NON-HR
ClickDimensions LLC;EU-U.S. Privacy Shield Framework;2016-11-21;2017-11-21;NON-HR
ClickFox, Inc.;EU-U.S. Privacy Shield Framework;2016-10-13;2017-10-13;NON-HR
ClickTime;EU-U.S. Privacy Shield Framework;2016-12-29;2017-12-29;NON-HR
Clifton Myers Enterprises Inc.;EU-U.S. Privacy Shield Framework;2017-02-07;2018-02-07;NON-HR
Clinical Computing;EU-U.S. Privacy Shield Framework;2016-11-04;2017-11-04;HR, NON-HR
Clinical Ink;EU-U.S. Privacy Shield Framework;2016-10-20;2017-10-20;HR, NON-HR
Clinical Trial Media, Inc.;Swiss-U.S. Privacy Shield Framework;2017-05-01;2017-09-08;NON-HR
Clinical Trial Media, Inc.;EU-U.S. Privacy Shield Framework;2016-09-08;2017-09-08;NON-HR
Clinipace, Inc.;EU-U.S. Privacy Shield Framework;2016-11-21;2017-11-21;HR, NON-HR
Clipcentric, Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-20;2018-04-20;NON-HR
Clipcentric, Inc.;EU-U.S. Privacy Shield Framework;2016-10-07;2018-04-20;NON-HR
Cloud4wi Inc.;EU-U.S. Privacy Shield Framework;2016-11-15;2017-11-15;NON-HR
Cloudability, Inc.;Swiss-U.S. Privacy Shield Framework;2017-05-26;2017-10-18;NON-HR
Cloudability, Inc.;EU-U.S. Privacy Shield Framework;2016-10-18;2017-10-18;NON-HR
Cloudera, Inc.;EU-U.S. Privacy Shield Framework;2017-01-10;2018-01-10;NON-HR
Cloudflare, Inc.;EU-U.S. Privacy Shield Framework;2016-11-09;2017-11-09;HR, NON-HR
CloudHealth Technologies, Inc.;EU-U.S. Privacy Shield Framework;2016-10-07;2017-10-07;NON-HR
Cloudinary;EU-U.S. Privacy Shield Framework;2017-02-15;2018-02-15;NON-HR
Cloudmark, Inc.;EU-U.S. Privacy Shield Framework;2016-11-03;2017-11-03;HR, NON-HR
CloudMine, Inc.;EU-U.S. Privacy Shield Framework;2016-09-02;2017-09-02;NON-HR
CloudNine;Swiss-U.S. Privacy Shield Framework;2017-05-05;2018-05-23;HR, NON-HR
CloudNine;EU-U.S. Privacy Shield Framework;2017-05-23;2018-05-23;HR, NON-HR
Cmed Inc;EU-U.S. Privacy Shield Framework;2016-12-16;2017-12-16;HR, NON-HR
CNH Industrial America LLC;Swiss-U.S. Privacy Shield Framework;2017-04-18;2017-10-21;HR, NON-HR
CNH Industrial America LLC;EU-U.S. Privacy Shield Framework;2016-10-21;2017-10-21;HR, NON-HR
CoachLogix;EU-U.S. Privacy Shield Framework;2017-05-18;2018-05-18;HR, NON-HR
Cobalt Solutions, Inc.;EU-U.S. Privacy Shield Framework;2017-02-07;2018-02-07;HR
Code42 Software, Inc.;EU-U.S. Privacy Shield Framework;2016-11-29;2017-11-29;HR, NON-HR
Cogeco Peer 1;EU-U.S. Privacy Shield Framework;2016-12-21;2017-12-21;HR, NON-HR
Coherent Inc.;EU-U.S. Privacy Shield Framework;2016-10-27;2017-10-27;HR, NON-HR
Collaborative Solutions, LLC;Swiss-U.S. Privacy Shield Framework;2017-04-19;2017-11-28;NON-HR
Collaborative Solutions, LLC;EU-U.S. Privacy Shield Framework;2016-10-25;2017-11-28;NON-HR
Collective, Inc.;EU-U.S. Privacy Shield Framework;2017-03-27;2018-03-27;NON-HR
Collette Travel Services Inc;EU-U.S. Privacy Shield Framework;2017-04-03;2018-04-03;NON-HR
Colpitts World Travel;EU-U.S. Privacy Shield Framework;2017-03-30;2018-03-30;HR
Column Technologies, Inc.;EU-U.S. Privacy Shield Framework;2016-12-19;2017-12-19;NON-HR
Commerce Technologies, LLC dba CommerceHub;EU-U.S. Privacy Shield Framework;2016-10-12;2017-10-12;NON-HR
Commercial Services Group;Swiss-U.S. Privacy Shield Framework;2017-04-27;2017-10-05;NON-HR
Commercial Services Group;EU-U.S. Privacy Shield Framework;2016-10-05;2017-10-05;NON-HR
CommercialTribe;EU-U.S. Privacy Shield Framework;2016-08-12;2017-08-12;NON-HR
Complete Discovery Source, Inc.;EU-U.S. Privacy Shield Framework;2016-08-12;2017-08-12;NON-HR
Complete Discovery Source, Inc.;Swiss-U.S. Privacy Shield Framework;2017-05-01;2017-08-12;NON-HR
Compliance Discovery Solutions;Swiss-U.S. Privacy Shield Framework;2017-05-30;2017-09-29;NON-HR
Compliance Discovery Solutions;EU-U.S. Privacy Shield Framework;2016-09-29;2017-09-29;NON-HR
Compliance Science, Inc.;EU-U.S. Privacy Shield Framework;2017-04-24;2018-04-24;NON-HR
Compliance Science, Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-24;2018-04-24;NON-HR
ComplySci;EU-U.S. Privacy Shield Framework;2016-08-23;2017-08-23;NON-HR
Comprehend Systems;EU-U.S. Privacy Shield Framework;2016-12-20;2017-12-20;HR, NON-HR
CompSight, LLC;EU-U.S. Privacy Shield Framework;2017-02-10;2018-02-10;HR, NON-HR
CompuCom Systems, Inc.;EU-U.S. Privacy Shield Framework;2017-02-07;2018-02-07;NON-HR
Computer Services Inc. (CSI);EU-U.S. Privacy Shield Framework;2016-11-25;2017-11-25;NON-HR
Comsim Inc;EU-U.S. Privacy Shield Framework;2016-08-18;2017-08-18;NON-HR
Comsim Inc;Swiss-U.S. Privacy Shield Framework;2017-04-28;2017-08-18;NON-HR
Comview Corporation;EU-U.S. Privacy Shield Framework;2017-02-09;2018-02-09;NON-HR
Concerto Cloud Services LLC;EU-U.S. Privacy Shield Framework;2017-04-25;2018-05-03;NON-HR
Concerto Cloud Services LLC;Swiss-U.S. Privacy Shield Framework;2017-05-01;2018-05-03;NON-HR
Concord III LLC;EU-U.S. Privacy Shield Framework;2017-03-14;2018-03-14;NON-HR
Conenza, Inc;EU-U.S. Privacy Shield Framework;2017-03-20;2018-03-20;NON-HR
ConeXware, Inc.;EU-U.S. Privacy Shield Framework;2017-03-01;2018-03-01;NON-HR
Confide;EU-U.S. Privacy Shield Framework;2016-11-19;2017-11-19;NON-HR
Configio;EU-U.S. Privacy Shield Framework;2016-09-02;2017-09-02;HR, NON-HR
Confirmit, Inc. and its wholly owned subsidiary CustomerSat.com, Inc.;EU-U.S. Privacy Shield Framework;2016-11-22;2017-11-22;NON-HR
ConnectYard Inc.;EU-U.S. Privacy Shield Framework;2016-10-31;2017-10-31;NON-HR
Consolidated Data Services;EU-U.S. Privacy Shield Framework;2016-11-02;2017-11-02;HR, NON-HR
Constant Contact Inc;EU-U.S. Privacy Shield Framework;2016-11-14;2017-11-14;NON-HR
Contegix, LLC;EU-U.S. Privacy Shield Framework;2016-09-08;2017-09-08;NON-HR
ContextSmith, Inc.;EU-U.S. Privacy Shield Framework;2017-02-07;2018-02-07;NON-HR
ContractRoom;EU-U.S. Privacy Shield Framework;2017-01-19;2018-01-19;NON-HR
Control4 Corporation;EU-U.S. Privacy Shield Framework;2017-03-31;2018-03-31;HR, NON-HR
Convercent;EU-U.S. Privacy Shield Framework;2016-09-19;2017-09-19;HR, NON-HR
Converseon, Inc;EU-U.S. Privacy Shield Framework;2017-04-10;2018-05-10;NON-HR
Converseon, Inc;Swiss-U.S. Privacy Shield Framework;2017-04-12;2018-05-10;NON-HR
Conversocial Inc.;EU-U.S. Privacy Shield Framework;2017-05-15;2018-05-15;NON-HR
Converus, Inc.;EU-U.S. Privacy Shield Framework;2016-11-17;2017-11-17;NON-HR
Cook MyoSite, Incorporated;EU-U.S. Privacy Shield Framework;2017-02-01;2018-02-01;HR, NON-HR
Cook Research Incorporated;EU-U.S. Privacy Shield Framework;2017-02-01;2018-02-01;HR, NON-HR
Copyright Clearance Center, Inc.;EU-U.S. Privacy Shield Framework;2017-01-12;2018-01-12;NON-HR
Corax Cyber Security Inc.;EU-U.S. Privacy Shield Framework;2016-12-12;2017-12-12;NON-HR
Cordium;EU-U.S. Privacy Shield Framework;2016-10-24;2017-10-24;NON-HR
Core Services Corporation;EU-U.S. Privacy Shield Framework;2017-01-27;2018-01-27;HR, NON-HR
CORE Transport Technologies, Inc.;EU-U.S. Privacy Shield Framework;2016-08-12;2018-04-27;NON-HR
